SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO
RJ,DEPUTADO ESTADUAL,18606,CELSO DA GRAMA,18,REDE
PB,DEPUTADO ESTADUAL,35888,ARIELLA PAIVA,35,PMB
AP,DEPUTADO FEDERAL,1144,NETE DA PESCA,11,PP
RJ,DEPUTADO ESTADUAL,23777,FABRICIUS CARAVANA,23,CIDADANIA
RR,DEPUTADO FEDERAL,1422,SAIONARA RODRIGUES,14,PTB
RN,SENADOR,270,VETERINARIA SHIRLEI MEDEIROS,27,DC
RJ,DEPUTADO FEDERAL,2825,PASTORA CARMINHA,28,PRTB
AM,DEPUTADO ESTADUAL,50113,VALTER RODRIGUES,50,PSOL
MG,DEPUTADO ESTADUAL,51400,JO�O LUIZ VAZ,51,PATRIOTA
RR,DEPUTADO FEDERAL,1229,THALITA GONZAGA,12,PDT
SC,DEPUTADO ESTADUAL,19999,ALESSANDRA PIRES,19,PODE
DF,DEPUTADO FEDERAL,4445,DELEGADO S�RGIO BAUTZER,44,UNI�O
SP,DEPUTADO ESTADUAL,15622,GEORGE HATO,15,MDB
PI,DEPUTADO ESTADUAL,77654,PROFESSOR WERTON COSTA,77,SOLIDARIEDADE
RJ,DEPUTADO ESTADUAL,35600,TONY PAIX�O,35,PMB
RS,DEPUTADO ESTADUAL,55002,SANDRO ALVES,55,PSD
PE,DEPUTADO ESTADUAL,22456,NENA CABRAL,22,PL
SP,DEPUTADO ESTADUAL,36666,ALEX GARCIA,36,AGIR
MA,DEPUTADO ESTADUAL,35258,GEORGE DA SILVA,35,PMB
RS,DEPUTADO ESTADUAL,50250,VANTUIR EMERSON,50,PSOL
MG,DEPUTADO ESTADUAL,11033,JAMIR CALILI RIBEIRO,11,PP
BA,DEPUTADO FEDERAL,1924,DAVID SALOM�O,19,PODE
GO,1� SUPLENTE,444,PAULO HENRIQUE NAVES,44,UNI�O
CE,DEPUTADO ESTADUAL,70762,CAPIT�O AGENOR,70,AVANTE
RS,DEPUTADO FEDERAL,2813,FABRICIO ROCHA,28,PRTB
