SG_UF,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO
CE,DEPUTADO FEDERAL,1551,BIA BRAGA,15,MDB
CE,DEPUTADO ESTADUAL,33733,GILMARA PORTELA,33,PMN
GO,DEPUTADO ESTADUAL,35123,CHANTER LANE,35,PMB
MG,DEPUTADO ESTADUAL,20377,JAKSON CONTADOR,20,PSC
RJ,DEPUTADO ESTADUAL,29229,VINICIUS RODRIGUES,29,PCO
GO,DEPUTADO ESTADUAL,22581,JUAREZ CARNEIRO,22,PL
RS,DEPUTADO FEDERAL,5573,ANA MACHADO,55,PSD
BA,DEPUTADO FEDERAL,1530,GEO MORAIS,15,MDB
AM,DEPUTADO ESTADUAL,77144,MARLI NASCIMENTO,77,SOLIDARIEDADE
MS,GOVERNADOR,44,ROSE MODESTO,44,UNI�O
PR,DEPUTADO FEDERAL,2815,CARLOS ROBERTO,28,PRTB
RS,DEPUTADO ESTADUAL,20566,VITOR FUNILARIA,20,PSC
BA,DEPUTADO ESTADUAL,50200,JACK MEIRA,50,PSOL
MT,DEPUTADO ESTADUAL,36444,JORD�O JORD�NIA,36,AGIR
PE,DEPUTADO ESTADUAL,77045,DANY MONTEIRO,77,SOLIDARIEDADE
GO,DEPUTADO FEDERAL,3344,MARIA ILCA,33,PMN
RO,DEPUTADO ESTADUAL,11777,PASTORA JANILCE,11,PP
PR,DEPUTADO FEDERAL,9050,ALETEIA FERREIRA SANTANA,90,PROS
RO,DEPUTADO ESTADUAL,51456,PROF. CLAUDIONOR LEME,51,PATRIOTA
SE,DEPUTADO FEDERAL,4400,F�BIO HENRIQUE,44,UNI�O
SP,DEPUTADO FEDERAL,3588,PAULO GUILHERMINO,35,PMB
RJ,DEPUTADO ESTADUAL,90320,CARLINHOS DA BARREIRA,90,PROS
AP,DEPUTADO FEDERAL,3611,RISOLANE CAMILA,36,AGIR
RJ,DEPUTADO ESTADUAL,27004,FLAVIA CUIDADORA,27,DC
DF,DEPUTADO DISTRITAL,45456,ROG�RIO EDUARDO,45,PSDB
TO,DEPUTADO ESTADUAL,44555,DR. HIDER ALENCAR,44,UNI�O
RJ,DEPUTADO FEDERAL,5150,ALEXANDRE METELLO OIPAZ,51,PATRIOTA
MS,DEPUTADO ESTADUAL,10123,ANTONIO VAZ,10,REPUBLICANOS
BA,DEPUTADO FEDERAL,1377,PROFESSORA MARIZE CARVALHO,13,PT
MS,DEPUTADO ESTADUAL,51800,CABO SILVEIRA,51,PATRIOTA
MT,DEPUTADO FEDERAL,1022,DR LEONARDO,10,REPUBLICANOS
PE,DEPUTADO FEDERAL,2802,ANA KEYLLA,28,PRTB
RJ,DEPUTADO FEDERAL,7097,THIAGO FONSECA,70,AVANTE
SP,DEPUTADO FEDERAL,1063,ESNAR RIBEIRO,10,REPUBLICANOS
RJ,DEPUTADO ESTADUAL,70900,DRA RHOAMA,70,AVANTE
PA,DEPUTADO FEDERAL,9000,LUIZ�O,90,PROS
MT,DEPUTADO ESTADUAL,22070,CLEUZIJAN DE SOUZA,22,PL
BA,DEPUTADO FEDERAL,4477,C�TIA RODRIGUES,44,UNI�O
SP,DEPUTADO ESTADUAL,36021,J�SUA LIMA,36,AGIR
AM,DEPUTADO FEDERAL,9077,APOSTOLO DARLAM MELO,90,PROS
RR,DEPUTADO FEDERAL,1818,JOENIA WAPICHANA,18,REDE
CE,DEPUTADO FEDERAL,1888,JOHNNY DO SOMOS DO INTERIOR,18,REDE
BA,DEPUTADO ESTADUAL,23059,CLAYTON COSTA ,23,CIDADANIA
BA,DEPUTADO ESTADUAL,11002,AGLAUPE OLIVEIRA,11,PP
BA,DEPUTADO ESTADUAL,28123,CARLOS GALEGO,28,PRTB
SC,DEPUTADO FEDERAL,1411,PROF JEFERSON,14,PTB
PE,DEPUTADO ESTADUAL,40888,ADERALDO PINTO,40,PSB
MG,DEPUTADO FEDERAL,7751,JAQUELINE SEABRA,77,SOLIDARIEDADE
SP,DEPUTADO FEDERAL,2875,SUZI,28,PRTB
SP,DEPUTADO ESTADUAL,13200,DR. CONSTANTINO CURY,13,PT
MT,DEPUTADO ESTADUAL,14779,PRESBITERO CLAUDIO COSTA,14,PTB
DF,DEPUTADO DISTRITAL,36333,WASHINGTON LUIZ L�DER COMUNIT�,36,AGIR
DF,DEPUTADO DISTRITAL,12344,L�O RANGEL,12,PDT
SC,DEPUTADO ESTADUAL,40023,ANTONIO CARLOS,40,PSB
AM,DEPUTADO ESTADUAL,27012,BOTINHO,27,DC
PI,DEPUTADO FEDERAL,3611,SAMIA LIRA,36,AGIR
PA,DEPUTADO FEDERAL,1321,AIRTON FALEIRO,13,PT
SP,DEPUTADO ESTADUAL,30001,LEONE FARIA,30,NOVO
MA,DEPUTADO ESTADUAL,14140,LUIS ALVES,14,PTB
SP,DEPUTADO FEDERAL,1024,LUCIANA SILVA,10,REPUBLICANOS
BA,DEPUTADO ESTADUAL,51511,BUGUELO,51,PATRIOTA
RJ,DEPUTADO ESTADUAL,40234,DENESON NEG�O,40,PSB
PI,DEPUTADO ESTADUAL,22007,GODOFREDO BRITO,22,PL
RJ,DEPUTADO ESTADUAL,19022,FABRICIO BAIAO,19,PODE
PR,DEPUTADO FEDERAL,1133,CHRISTIANE YARED,11,PP
PE,DEPUTADO ESTADUAL,51917,LETICIA,51,PATRIOTA
BA,DEPUTADO ESTADUAL,51678,ROGERIO TAVARES,51,PATRIOTA
GO,DEPUTADO ESTADUAL,12555,BISPA LUCIENE,12,PDT
PA,DEPUTADO ESTADUAL,14333,ROBERTO CUNHA,14,PTB
CE,DEPUTADO ESTADUAL,70999,CRISTINA SOBREIRA,70,AVANTE
BA,DEPUTADO ESTADUAL,50456,IVO,50,PSOL
RS,DEPUTADO ESTADUAL,44000,RUY IRIGARAY BOLSONARO,44,UNI�O
MS,DEPUTADO ESTADUAL,14444,OT�VIO FIGUEIR�,14,PTB
GO,DEPUTADO FEDERAL,1110,EDNA MENDES,11,PP
PR,DEPUTADO FEDERAL,3540,SARGENTO AMARILDO,35,PMB
RJ,DEPUTADO ESTADUAL,40500,RAMON GAGO,40,PSB
BA,DEPUTADO FEDERAL,1335,BISPO ONASIS,13,PT
GO,DEPUTADO ESTADUAL,40123,PEDRO AZUL�O JR.,40,PSB
PB,VICE-GOVERNADOR,50,JARDEL QUEIROZ,80,UP
PB,DEPUTADO ESTADUAL,14001,ANNA FERNANDES,14,PTB
AP,DEPUTADO ESTADUAL,22456,COELHO,22,PL
PA,DEPUTADO ESTADUAL,14000,FRANCY PEREIRA,14,PTB
BA,1� SUPLENTE,555,TERENCE LESSA,13,PT
RJ,DEPUTADO ESTADUAL,28161,LUCIO DUARTE,28,PRTB
ES,DEPUTADO ESTADUAL,77100,BRUNO DA SERRA,77,SOLIDARIEDADE
RR,DEPUTADO ESTADUAL,14333,O MANEL DO FUTEBOL,14,PTB
PE,DEPUTADO FEDERAL,2713,BAXINHA BAR�O,27,DC
SP,DEPUTADO FEDERAL,3080,SIDNEY ELIAS,30,NOVO
MA,DEPUTADO ESTADUAL,20016,TATA,20,PSC
AP,SENADOR,444,DAVI,44,UNI�O
PE,DEPUTADO FEDERAL,1450,PROF Z� CARLOS,14,PTB
PR,DEPUTADO ESTADUAL,51420,ACEL DA VIDRA�ARIA MERC�S,51,PATRIOTA
RJ,DEPUTADO ESTADUAL,40713,PROF RENATO BATISTA,40,PSB
PR,DEPUTADO ESTADUAL,90070,PEDRO BRASIL,90,PROS
SP,DEPUTADO ESTADUAL,40113,PROTETOR RONALDO,40,PSB
SE,DEPUTADO ESTADUAL,22100,ITAMAR ALVES,22,PL
PR,DEPUTADO ESTADUAL,18294,DANIELE BIONDO CROCETTI,18,REDE
CE,DEPUTADO FEDERAL,4567,DEN�SIO PINHEIRO,45,PSDB
AL,DEPUTADO ESTADUAL,35000,POLICIAL PENAL ABRA�O,35,PMB
SP,DEPUTADO ESTADUAL,44363,T�NIA FRUCHI,44,UNI�O
PB,DEPUTADO FEDERAL,3512,MARILIA GOMES,35,PMB
PB,DEPUTADO ESTADUAL,35900,MARIA CLEIDE,35,PMB
PA,DEPUTADO FEDERAL,4511,ALEXANDRE VON,45,PSDB
BA,DEPUTADO ESTADUAL,55255,ANGELO CORONEL FILHO,55,PSD
SC,DEPUTADO ESTADUAL,65123,VALDUGA,65,PC do B
MG,DEPUTADO FEDERAL,1004,RICARDO GELEIA,10,REPUBLICANOS
MA,DEPUTADO FEDERAL,5190,CORONEL MEDEIROS,51,PATRIOTA
PR,DEPUTADO ESTADUAL,14512,ROQUE DE SOUZA,14,PTB
RJ,DEPUTADO ESTADUAL,35033,JORGE CERQUEIRA,35,PMB
SP,DEPUTADO ESTADUAL,20141,TRACY MAESTER,20,PSC
RS,DEPUTADO FEDERAL,9010,RUSCHEL,90,PROS
SC,DEPUTADO ESTADUAL,51955,JORGE VIEIRA,51,PATRIOTA
MG,DEPUTADO ESTADUAL,11436,MISSIONARIA VALERIA,11,PP
ES,DEPUTADO ESTADUAL,55055,MAURICIO LEITE,55,PSD
SP,DEPUTADO FEDERAL,2863,LEANDRO RUIVO,28,PRTB
MT,DEPUTADO ESTADUAL,10022,EDILSON SAMPAIO,10,REPUBLICANOS
SP,DEPUTADO FEDERAL,2805,WAGNER FEDERAL,28,PRTB
GO,DEPUTADO FEDERAL,7750,FERNANDO SALES,77,SOLIDARIEDADE
PR,DEPUTADO FEDERAL,1451,PROFESSOR IRAN WOLF,14,PTB
AM,1� SUPLENTE,500,GERSON MEDEIROS,50,PSOL
SC,DEPUTADO ESTADUAL,22190,ROBERTO SALUM,22,PL
PR,DEPUTADO ESTADUAL,28100,ZELOPES PAPAGAIO,28,PRTB
BA,DEPUTADO ESTADUAL,40001,PROFESSOR JEHORVAN,40,PSB
PE,DEPUTADO FEDERAL,1415,ANTONIO CANDIDO ALFAIATE MIAGI,14,PTB
SP,DEPUTADO ESTADUAL,14113,KATIA DO SOCIAL,14,PTB
PB,DEPUTADO FEDERAL,2888,PAULO FERREIRA,28,PRTB
SP,DEPUTADO ESTADUAL,90202,ENZUH,90,PROS
SE,DEPUTADO ESTADUAL,50606,JOSI ADHUMA: VAI TER PRETA SIM,50,PSOL
PR,DEPUTADO ESTADUAL,40040,JACKSON PRESTES 40,40,PSB
DF,DEPUTADO DISTRITAL,30420,JOHN RAYNER,30,NOVO
BA,DEPUTADO FEDERAL,1300,IVONEIDE CAETANO,13,PT
PR,DEPUTADO FEDERAL,5511,LU�SA CANZIANI,55,PSD
MG,DEPUTADO ESTADUAL,15999,JURACY DO SILVIO SANTOS,15,MDB
GO,DEPUTADO ESTADUAL,19022,DR. ANT�NIO BARROS,19,PODE
MG,DEPUTADO FEDERAL,1495,A.MATTIELLO,14,PTB
RJ,DEPUTADO ESTADUAL,27433,VANESSA FERREIRA,27,DC
AP,DEPUTADO ESTADUAL,11111,HAROLDO ABDON TOP FIAT,11,PP
PE,DEPUTADO ESTADUAL,35010,MAURICIO PEDREIRO,35,PMB
ES,DEPUTADO ESTADUAL,27200,MISSION�RIA ROSIMERE,27,DC
PE,DEPUTADO ESTADUAL,51500,GABRIEL MENEZES,51,PATRIOTA
SP,VICE-GOVERNADOR,29,L�LIAN MIRANDA,29,PCO
GO,2� SUPLENTE,456,MARCOS ERM�RIO DE MORAES,45,PSDB
RJ,DEPUTADO FEDERAL,2270,MARINARA,22,PL
MA,DEPUTADO ESTADUAL,36523,ELIZABETE AFONSO,36,AGIR
SP,DEPUTADO ESTADUAL,70775,PASTOR ANTONIO CONSTANTINO,70,AVANTE
BA,DEPUTADO FEDERAL,5545,CIDA ,55,PSD
ES,DEPUTADO ESTADUAL,18273,DENISE KOPPE,18,REDE
RJ,DEPUTADO ESTADUAL,43123,AB�LIO PEDRA,43,PV
SP,DEPUTADO ESTADUAL,28622,CABO DIAS DO PROERD,28,PRTB
GO,DEPUTADO FEDERAL,4530,ENFERMEIRO WAGNER SIQUEIRA,45,PSDB
CE,DEPUTADO ESTADUAL,12344,JANNE RUTH,12,PDT
ES,DEPUTADO ESTADUAL,12444,TIA C�LIA BERSAN,12,PDT
PE,DEPUTADO ESTADUAL,10134,TIAGO MENEZES,10,REPUBLICANOS
SC,DEPUTADO ESTADUAL,14977,BRUNO SANTOS,14,PTB
TO,DEPUTADO ESTADUAL,55500,ROG�RIO FREITAS,55,PSD
SP,DEPUTADO ESTADUAL,28780,ENGENHEIRO JUAREZ DIAS,28,PRTB
GO,DEPUTADO FEDERAL,2238,VIGILANTE ASSUMAR BORGES,22,PL
SP,DEPUTADO FEDERAL,4099,DEMERSON SA�DE,40,PSB
SP,DEPUTADO FEDERAL,1044,RITA PASSOS,10,REPUBLICANOS
SE,2� SUPLENTE,222,EDILMA AMORIM,22,PL
PB,DEPUTADO FEDERAL,7077,IRM�O ROSIEL ALVES,70,AVANTE
MT,DEPUTADO ESTADUAL,27193,MAURICIO CORREDOR,27,DC
PB,DEPUTADO ESTADUAL,45543,DEMA JOAQUIM,45,PSDB
MG,2� SUPLENTE,200,WANDER DE SOUSA,20,PSC
PA,DEPUTADO ESTADUAL,14115,NIK PILOTO,14,PTB
PB,DEPUTADO ESTADUAL,77345,ALEXANDRE PACHECO,77,SOLIDARIEDADE
RJ,DEPUTADO ESTADUAL,22888,MATTOS NASCIMENTO,22,PL
MA,DEPUTADO FEDERAL,4433,R�MULO AUGUSTO,44,UNI�O
MA,DEPUTADO FEDERAL,2700,PASTOR MARINHO,27,DC
AM,SENADOR,123,LUIZ CASTRO,12,PDT
PI,DEPUTADO FEDERAL,1825,EDILEUZA DA ENFERMAGEM,18,REDE
PR,DEPUTADO ESTADUAL,36171,VALDECIR JALASKO PINTINHO,36,AGIR
MG,DEPUTADO ESTADUAL,28030,PASTOR ORLANI SILVA,28,PRTB
RO,DEPUTADO ESTADUAL,22364,LUCAS VINICIUS,22,PL
BA,DEPUTADO ESTADUAL,14001,RAFAEL ENGENHEIRO PATRIOTA,14,PTB
SP,DEPUTADO FEDERAL,1976,ILDA REIS,19,PODE
PB,DEPUTADO ESTADUAL,22000,PROFESSORA LEILA FONSECA,22,PL
AP,SENADOR,401,CAPI,40,PSB
PR,DEPUTADO ESTADUAL,13122,MARCO SUKITA,13,PT
AM,DEPUTADO ESTADUAL,10014,SERGINHO C MARA,10,REPUBLICANOS
SP,DEPUTADO FEDERAL,7000,MARCOS DA COSTA,70,AVANTE
SP,DEPUTADO FEDERAL,4599,HAROLD THAU,45,PSDB
RR,DEPUTADO ESTADUAL,19123,JOILMA TEODORA,19,PODE
SP,DEPUTADO ESTADUAL,65658,FRANCISCA BANCADA DA EDUCA��O,65,PC do B
PR,DEPUTADO FEDERAL,1919,DELTAN DALLAGNOL,19,PODE
RJ,DEPUTADO FEDERAL,2363,RAFAEL TUBAR�O,23,CIDADANIA
SP,DEPUTADO FEDERAL,5540,DENILSON ZIROLDO,55,PSD
SP,DEPUTADO FEDERAL,2844,MARCOS OLIVEIRA,28,PRTB
PR,DEPUTADO ESTADUAL,28999,LUCIANO CRUZ,28,PRTB
SP,DEPUTADO FEDERAL,7789,ALINE ASSISTENTE SOCIAL,77,SOLIDARIEDADE
CE,DEPUTADO ESTADUAL,44556,PRISCILA ROCHA,44,UNI�O
AC,DEPUTADO ESTADUAL,12159,ALMINERES DO ELDORADO,12,PDT
MG,DEPUTADO FEDERAL,1963,DIRLEY HENRIQUES,19,PODE
MT,DEPUTADO ESTADUAL,11000,ZINHO DO TRANSPORTE,11,PP
RS,DEPUTADO ESTADUAL,12433,LEILA CASTRO,12,PDT
BA,DEPUTADO ESTADUAL,18120,PROFESSOR JOILSON,18,REDE
GO,DEPUTADO FEDERAL,2844,EDINHO DA ARANTINA,28,PRTB
SC,DEPUTADO ESTADUAL,14007,GEL FADEL,14,PTB
RO,DEPUTADO ESTADUAL,40444,LAZINHO DA FETAGRO,40,PSB
GO,DEPUTADO ESTADUAL,40140,GUILHERME BISPO,40,PSB
GO,DEPUTADO ESTADUAL,40777,ANDR�A GON�ALVES,40,PSB
SP,DEPUTADO ESTADUAL,19777,DR EDSON DA PAIOL,19,PODE
AM,SENADOR,555,OMAR AZIZ,55,PSD
PA,DEPUTADO ESTADUAL,90002,WERLLEY,90,PROS
PB,DEPUTADO FEDERAL,4424,RAFAF�,44,UNI�O
MG,DEPUTADO FEDERAL,5588,CELSO DONATO,55,PSD
SP,DEPUTADO ESTADUAL,40026,GERALDO RIBEIRO AQUI TEM LUTA,40,PSB
GO,DEPUTADO FEDERAL,3009,MARINA TORRES,30,NOVO
MG,DEPUTADO FEDERAL,4589,ANA COSTA,45,PSDB
SP,DEPUTADO FEDERAL,7019,LUANA TRINDADE,70,AVANTE
SP,DEPUTADO FEDERAL,4512,FERNANDO MESTRE SALA,45,PSDB
SP,DEPUTADO ESTADUAL,10555,VIT�O DO CACHORR�O,10,REPUBLICANOS
MA,DEPUTADO ESTADUAL,45555,IN�CIO MELO,45,PSDB
SP,DEPUTADO FEDERAL,1400,TENENTE PAULO KOBAYASHI,14,PTB
MA,DEPUTADO ESTADUAL,55333,PEDRO NERES,55,PSD
DF,DEPUTADO FEDERAL,1111,RONEY NEMER,11,PP
GO,DEPUTADO ESTADUAL,27333,GISLENE BARBOSA,27,DC
ES,DEPUTADO FEDERAL,5120,V�NIA BERGER,51,PATRIOTA
SP,DEPUTADO ESTADUAL,70470,WALNEY ARAUJO,70,AVANTE
TO,DEPUTADO ESTADUAL,65180,ADRIANA SOUZA,65,PC do B
RS,DEPUTADO FEDERAL,1991,CELSO RICARDO,19,PODE
RR,DEPUTADO ESTADUAL,55192,DR WESLEY THOM�,55,PSD
SC,DEPUTADO ESTADUAL,50048,MATHEUS RODRIGUES,50,PSOL
SP,DEPUTADO FEDERAL,3003,FIUZA BITCOIN,30,NOVO
RJ,DEPUTADO ESTADUAL,44410,KADU NOVAES,44,UNI�O
AM,DEPUTADO ESTADUAL,13418,J�SSICA SANTOS,13,PT
CE,DEPUTADO FEDERAL,3690,CLAUDIO MOURA,36,AGIR
MT,DEPUTADO ESTADUAL,11222,SIMONE LAURA,11,PP
ES,DEPUTADO ESTADUAL,22456,DANUBIA HERINGER,22,PL
MA,DEPUTADO FEDERAL,1125,ANTONIA SOARES,11,PP
RR,DEPUTADO FEDERAL,5122,BRAZ,51,PATRIOTA
MG,DEPUTADO ESTADUAL,10127,IARA ROSA DARC,10,REPUBLICANOS
BA,DEPUTADO FEDERAL,7790,LUCIANO LIMA,77,SOLIDARIEDADE
PR,DEPUTADO ESTADUAL,55190,POLICIAL SCHEILA MELO,55,PSD
PR,DEPUTADO FEDERAL,7780,ASSIS DO COUTO,77,SOLIDARIEDADE
RS,DEPUTADO FEDERAL,1523,ANA BOMBOM,15,MDB
BA,DEPUTADO ESTADUAL,44122,MOIZ�S BARBOSA,44,UNI�O
TO,DEPUTADO ESTADUAL,22777,GLEYDSON NATO,22,PL
RN,DEPUTADO FEDERAL,4313,ELMA SOUZA,43,PV
MG,DEPUTADO FEDERAL,1823,PROFESSORA TEREZA ELOI,18,REDE
SP,DEPUTADO FEDERAL,3639,GILBERTO COBRADOR,36,AGIR
PE,DEPUTADO ESTADUAL,18523,JOSAF� ARA�JO,18,REDE
SP,DEPUTADO ESTADUAL,20202,JOHN KAGE (JK),20,PSC
GO,DEPUTADO ESTADUAL,11311,WEVERTON FREITAS,11,PP
RS,DEPUTADO ESTADUAL,20122,CLAUDIO DORO,20,PSC
PE,DEPUTADO ESTADUAL,35100,ZITTO,35,PMB
GO,DEPUTADO ESTADUAL,30500,N�LITO PAIVA,30,NOVO
RS,DEPUTADO FEDERAL,1003,CLAUDINHA SANTOS,10,REPUBLICANOS
MA,DEPUTADO FEDERAL,2000,FLAVIA BERTHIER,20,PSC
PA,DEPUTADO ESTADUAL,45007,JUSCELINO COSTA,45,PSDB
GO,DEPUTADO FEDERAL,1903,J�NIOR BARATA,19,PODE
PE,DEPUTADO FEDERAL,7055,ALEM�O,70,AVANTE
AP,DEPUTADO ESTADUAL,43456,LILIANE ABREU,43,PV
PB,DEPUTADO ESTADUAL,22017,PROFESSOR BEETHOVEN,22,PL
AP,DEPUTADO ESTADUAL,90678,RAYFRAN BEIR�O,90,PROS
SE,DEPUTADO ESTADUAL,51993,CLAUDIO DEDE,51,PATRIOTA
RJ,DEPUTADO FEDERAL,2232,RICARDO PERICAR,22,PL
PB,DEPUTADO ESTADUAL,18678,SIMONE BRITO,18,REDE
RJ,DEPUTADO ESTADUAL,19077,CANTORA GEORGETE ROCHA,19,PODE
GO,DEPUTADO FEDERAL,5100,FERNANDO NETTO,51,PATRIOTA
SP,2� SUPLENTE,161,SORAYA MISLEH,16,PSTU
PA,DEPUTADO FEDERAL,7735,EDINEY MARCELINO,77,SOLIDARIEDADE
MA,DEPUTADO ESTADUAL,51515,FIRMINO MARQUES,51,PATRIOTA
AM,DEPUTADO ESTADUAL,15005,JAIANE SILVA,15,MDB
MG,DEPUTADO ESTADUAL,77222,SARGENTO NIXON BAHIA,77,SOLIDARIEDADE
MA,DEPUTADO FEDERAL,2315,SAMARA BENICIO,23,CIDADANIA
RJ,DEPUTADO ESTADUAL,44445,ALBERTO BRIZOLA,44,UNI�O
AC,DEPUTADO FEDERAL,1505,EDITH MONTES,15,MDB
BA,DEPUTADO FEDERAL,2890,EVERTON PCD,28,PRTB
RJ,DEPUTADO ESTADUAL,12612,SIVANILDO SILVA RADIALISTA,12,PDT
DF,DEPUTADO DISTRITAL,18181,DRA ENILDE NERES,18,REDE
RS,DEPUTADO ESTADUAL,19467,SINARA KUHN,19,PODE
RR,DEPUTADO ESTADUAL,55456,GISELE DOMINGOS,55,PSD
RJ,DEPUTADO ESTADUAL,23000,PROFESSOR EVANDRO BRASIL,23,CIDADANIA
MG,DEPUTADO ESTADUAL,33169,DARLEM LEMOS,33,PMN
GO,DEPUTADO FEDERAL,5177,PERPETUA BARBOSA,51,PATRIOTA
MG,DEPUTADO FEDERAL,2322,HELOISA LOLO,23,CIDADANIA
MG,DEPUTADO ESTADUAL,12220,CAMILA PRETA,12,PDT
CE,DEPUTADO ESTADUAL,45045,NATY HERCULANO,45,PSDB
BA,DEPUTADO ESTADUAL,14101,JURANDY CAMPOS,14,PTB
DF,DEPUTADO DISTRITAL,50333,AIRY CLO DE MULHERES IND�GENAS,50,PSOL
RJ,DEPUTADO ESTADUAL,40838,AMIGO DAS COMUNIDADES,40,PSB
MA,DEPUTADO FEDERAL,1901,BRUNA THALYTA,19,PODE
AL,DEPUTADO ESTADUAL,45777,VITORINO CAVALCANTE,45,PSDB
PE,VICE-GOVERNADOR,77,SEBASTI�O OLIVEIRA,70,AVANTE
DF,2� SUPLENTE,270,VIRGILIO,27,DC
PB,DEPUTADO ESTADUAL,44147,BEL SOLDADO,44,UNI�O
GO,DEPUTADO ESTADUAL,70190,CORONEL URZEDA,70,AVANTE
MG,SENADOR,123,BRUNO MIRANDA,12,PDT
SP,DEPUTADO FEDERAL,1850,JO�O PEDRO DA PAZ,18,REDE
SP,DEPUTADO ESTADUAL,13700,DONATO,13,PT
GO,DEPUTADO ESTADUAL,12600,ISA ROSA,12,PDT
MG,DEPUTADO FEDERAL,4412,L�O BRUM,44,UNI�O
RS,DEPUTADO FEDERAL,4578,MISSION�RIA GICELA FREITAS,45,PSDB
AM,DEPUTADO ESTADUAL,44000,BRENA DIANN�,44,UNI�O
AL,DEPUTADO FEDERAL,5020,ALYCIA BANCADA NEGRA,50,PSOL
SP,DEPUTADO FEDERAL,1127,GERALDA LIMA,11,PP
DF,DEPUTADO DISTRITAL,90180,FRAN MENDON�A,90,PROS
MG,DEPUTADO ESTADUAL,45123,CABO AMORIM,45,PSDB
ES,DEPUTADO ESTADUAL,50800,JOELMA LOPES,50,PSOL
ES,DEPUTADO FEDERAL,9099,GEREMIAS DA SA�DE,90,PROS
RO,DEPUTADO ESTADUAL,43222,ISNAR ROCHA,43,PV
PR,DEPUTADO ESTADUAL,55128,ALEXANDRE CURI,55,PSD
PE,DEPUTADO ESTADUAL,22121,LUCYANE GOMES,22,PL
ES,DEPUTADO ESTADUAL,45333,FERNANDA BRAUMER,45,PSDB
MT,DEPUTADO FEDERAL,4022,KAREN ROCHA,40,PSB
MG,DEPUTADO FEDERAL,9066,MARIO JUSTINO,90,PROS
GO,DEPUTADO FEDERAL,3655,LUIZ CARLOS ZOIN,36,AGIR
BA,DEPUTADO FEDERAL,1200,JOS� CARLOS ARA�JO,12,PDT
MA,DEPUTADO FEDERAL,4321,JOANA GUAJAJARA,43,PV
SP,DEPUTADO ESTADUAL,21000,GABRIEL TAVARES,21,PCB
AP,DEPUTADO ESTADUAL,15000,PAULINHO RAMOS,15,MDB
TO,2� SUPLENTE,131,VER�NICA,13,PT
BA,DEPUTADO FEDERAL,7072,SILVIO CARVALHO,70,AVANTE
PB,DEPUTADO ESTADUAL,18444,RAIMUNDO AGENTE DE SAUDE,18,REDE
PR,DEPUTADO FEDERAL,3034,F�BIO MUNIZ,30,NOVO
RS,DEPUTADO ESTADUAL,10663,PR MARCELINO MOREIRA,10,REPUBLICANOS
DF,DEPUTADO FEDERAL,5050,PROFA. F�TIMA SOUSA,50,PSOL
RR,DEPUTADO ESTADUAL,44123,JANUS MOREIRA,44,UNI�O
RJ,DEPUTADO ESTADUAL,77134,CLAUDINEI SANTOS,77,SOLIDARIEDADE
SC,DEPUTADO ESTADUAL,28020,ANDREIA MACHADO,28,PRTB
MT,DEPUTADO ESTADUAL,15678,DR. JO�O,15,MDB
PA,DEPUTADO FEDERAL,3623,PATR�CIA MORAES,36,AGIR
SE,DEPUTADO ESTADUAL,45023,J�SSICA FONSECA,45,PSDB
RJ,DEPUTADO FEDERAL,1151,DEYSON THOM�,11,PP
PI,DEPUTADO ESTADUAL,15199,DR PABLO SANTOS,15,MDB
MG,DEPUTADO ESTADUAL,90177,DULCINEA DA SILVA,90,PROS
RO,DEPUTADO ESTADUAL,35130,CABO DI�MISSON,35,PMB
AM,DEPUTADO ESTADUAL,50245,CIRLETE QUEIROZ,50,PSOL
SP,DEPUTADO FEDERAL,1020,LUIS MIRANDA,10,REPUBLICANOS
SP,DEPUTADO FEDERAL,1136,CL�UDIA P CALDAS,11,PP
BA,DEPUTADO ESTADUAL,14567,PASTOR KAJURU DO SERT�O,14,PTB
DF,DEPUTADO DISTRITAL,90022,HENRIQUE RESENDE,90,PROS
SE,DEPUTADO ESTADUAL,12345,DRA RAFAELA VIEIRA,12,PDT
PE,DEPUTADO ESTADUAL,77700,LENINHA BEL�SSIMA ,77,SOLIDARIEDADE
RO,DEPUTADO ESTADUAL,10112,JULINHO DA RADIO,10,REPUBLICANOS
TO,DEPUTADO ESTADUAL,20500,GRACIANE ROCHA,20,PSC
SP,DEPUTADO ESTADUAL,50500,D�BORA CAMILO,50,PSOL
MA,DEPUTADO ESTADUAL,90222,SANDRA CORREA ,90,PROS
PB,DEPUTADO ESTADUAL,36666,SARGENTO IVALDO GARRINCHA,36,AGIR
MG,DEPUTADO FEDERAL,1805,PROFESSOR ROBERTO LELES,18,REDE
BA,DEPUTADO ESTADUAL,10888,FLAVIELLE DE S�,10,REPUBLICANOS
MG,DEPUTADO ESTADUAL,12457,GREGORY RODRIGUES,12,PDT
SP,DEPUTADO ESTADUAL,33133,ALE VECCHIO,33,PMN
MS,DEPUTADO ESTADUAL,14777,DR MARIO LENHARO,14,PTB
PA,DEPUTADO ESTADUAL,77222,CARLOS PEREIRA,77,SOLIDARIEDADE
PR,DEPUTADO FEDERAL,2716,EVERTON JOS�,27,DC
GO,DEPUTADO ESTADUAL,22010,SILVEIRA ALVES,22,PL
PE,DEPUTADO ESTADUAL,18100,DANIEL DO SALVE,18,REDE
